,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekdays,city
10606,195.4420376772737,Private room,FALSE,TRUE,2,FALSE,0,1,9,92,1,2.442008858917052,0.1474266683101392,432.0604562345469,30.03420677793023,1039.1892219098909,18.599676350150574,-0.122,51.53,FALSE,london
10607,181.09551024247983,Private room,FALSE,TRUE,2,FALSE,1,0,10,99,1,2.8302760481188223,0.13660199519504826,371.59876879488667,25.831279163282804,633.0640814975561,11.330743984352923,-0.1042,51.48746,FALSE,london
10608,181.09551024247983,Private room,FALSE,TRUE,2,FALSE,0,1,10,89,1,6.839200035501957,2.754955411275372,178.77584694236774,12.427406110620474,348.2453206388584,6.232984443807893,-0.04617,51.473690000000005,FALSE,london
10609,142.28932947623414,Private room,FALSE,TRUE,2,FALSE,0,1,9,93,1,6.795058658302482,2.6270283091316644,180.6681654089939,12.558948544778097,352.6190479524247,6.311266541775226,-0.04566,51.47488,FALSE,london
10610,155.22472306498273,Private room,FALSE,TRUE,2,FALSE,0,0,9,99,0,5.45129655795145,0.426686115697218,213.69662014818408,14.854885201045114,473.69669884407733,8.478345522523673,-0.19,51.538000000000004,FALSE,london
10611,307.8623674122157,Private room,FALSE,TRUE,2,FALSE,0,1,2,20,1,1.734223475938588,0.647346929588612,570.8211878828599,39.68000621836763,829.1056271294873,14.839546061067852,-0.11702,51.49418,FALSE,london
10612,134.52809332298503,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,6.928122312108997,2.2655555558303946,171.7352593285401,11.937987416591596,369.3947566488098,6.611522496820365,-0.04959,51.54724,FALSE,london
10613,107.48136127378349,Private room,FALSE,TRUE,2,FALSE,0,0,9,95,1,7.666573323648572,1.78652415603907,176.33647520848226,12.25783587107052,342.5426865356856,6.130917229843329,-0.02218,51.48771,FALSE,london
10614,207.20148639431784,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,8.36544832500515,0.3579049501364739,137.43017002762772,9.553306914750797,311.98236395381065,5.583940705072983,-0.21592,51.45728,FALSE,london
10615,413.9325948399539,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,10,98,3,7.4833737946581715,3.0127509590897272,156.2288145618889,10.86007398620968,337.02133538623536,6.032094664876224,-0.04844,51.55405,FALSE,london
10616,556.221924316188,Private room,FALSE,TRUE,4,FALSE,1,0,10,90,2,3.6653886157314552,0.3390417215746928,315.91115027857603,21.9602156920601,743.4458559189682,13.306385413177917,-0.08615,51.5288,FALSE,london
10617,187.44561254968366,Private room,FALSE,TRUE,4,FALSE,0,0,9,88,2,9.295124109008578,0.6439838596598717,122.3222489395716,8.503096418983956,268.75176116351173,4.810188241740374,-0.21618,51.44577,FALSE,london
10618,447.79980714504103,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,60,1,6.289496973162283,0.2603123547277854,197.27823189821135,13.713579023762529,453.70740481364624,8.120571989469985,-0.21225,51.48838,FALSE,london
10619,658.5291281544721,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,70,1,3.051993360203055,0.050549375813621025,368.33177721023134,25.60417784128163,828.8727879565785,14.835378645580436,-0.1387,51.53485,FALSE,london
10620,222.48876972647523,Private room,FALSE,TRUE,2,FALSE,0,0,9,88,1,2.0270979267548324,0.3257814206692683,504.0912298441691,35.041346676406064,870.9519720339804,15.588522720227074,-0.13716,51.49113,FALSE,london
10621,137.11517204073473,Private room,FALSE,TRUE,2,FALSE,0,1,8,81,1,2.064023733795926,0.09117857040919998,470.5570433484303,32.71025463405553,1068.4893910181506,19.124098323481594,-0.13878,51.525490000000005,FALSE,london
